"","mRNA","logFC","FDR","Delta","Tumor","Normal","start","end","diff_exp","gene"
"ENSG00000123338","ENSG00000123338",2.39092216541125,0.00179947287819637,3478.79175067336,1455,6213.5,54497752,54548243,"UP","NCKAP1L"
"ENSG00000242574","ENSG00000242574",2.09457527656942,0.00960913556095118,3463.13086560795,1653.38095238095,6109.25,32934629,32941028,"UP","HLA-DMB"
"ENSG00000117322","ENSG00000117322",4.52573042021419,1.76214825007701e-12,3433.08979019105,758.571428571429,12767.75,207454230,207489895,"UP","CR2"
"ENSG00000100292","ENSG00000100292",2.46639565976176,0.00111799642422112,3411.61243451237,1383.2380952381,6394.25,35380361,35394214,"UP","HMOX1"
"ENSG00000197629","ENSG00000197629",2.16368580633875,0.00659958363858633,3408.2172756133,1575.19047619048,5313,59208510,59212927,"UP","MPEG1"
"ENSG00000170323","ENSG00000170323",2.80411271910763,0.000113151375942919,3255.44133770685,1160.95238095238,7013.25,81478419,81483236,"UP","FABP4"
"ENSG00000156738","ENSG00000156738",4.92263824553506,8.44351644294092e-15,3210.49778146896,652.190476190476,15352.25,60455846,60470752,"UP","MS4A1"
"ENSG00000133048","ENSG00000133048",3.52772495074671,2.10038785229835e-07,3180.6640103542,901.619047619048,9856,203178931,203186704,"UP","CHI3L1"
"ENSG00000237541","ENSG00000237541",2.52202687825993,0.000783244426697327,3132.47747931684,1242.04761904762,5992.75,32741391,32747198,"UP","HLA-DQA1"
"ENSG00000155926","ENSG00000155926",2.26463974731184,0.00373374396262781,3048.31293986971,1346.04761904762,5466.75,133036728,133102912,"UP","SLA"
"ENSG00000105369","ENSG00000105369",3.12275951037137,9.36084415424927e-06,3009.15054532738,963.619047619048,6569.75,41877279,41881372,"UP","CD79A"
"ENSG00000140678","ENSG00000140678",2.40335577318122,0.00166566755295009,2840.7665239002,1182,5642.5,31355134,31382999,"UP","ITGAX"
"ENSG00000167676","ENSG00000167676",2.32656755679831,0.00263988316237832,2818.02725593913,1211.2380952381,5245.5,4502180,4518465,"UP","PLIN4"
"ENSG00000169442","ENSG00000169442",2.65640337400091,0.000311730540586108,2779.86288319257,1046.47619047619,5783.25,26317958,26320523,"UP","CD52"
"ENSG00000134516","ENSG00000134516",2.4860613222289,0.000985269545625847,2753.01695468729,1107.38095238095,4950,169637268,170083382,"UP","DOCK2"
"ENSG00000198771","ENSG00000198771",2.35540460204453,0.0022428919058035,2752.4585206749,1168.57142857143,4580.75,167630093,167708696,"UP","RCSD1"
"ENSG00000197943","ENSG00000197943",2.12413206854969,0.00824001979847299,2749.13264243391,1294.2380952381,4459.75,81739097,81962685,"UP","PLCG2"
"ENSG00000167895","ENSG00000167895",2.85430495690443,7.87898194404133e-05,2654.2317713538,929.904761904762,5216.75,78130770,78142968,"UP","TMC8"
"ENSG00000136490","ENSG00000136490",2.35009564561615,0.00231290549920073,2648.33397397649,1126.90476190476,4732,63695888,63701172,"UP","LIMD2"
"ENSG00000262406","ENSG00000262406",4.13749920503484,2.04646285315687e-10,2627.70604274046,635.095238095238,11428.25,102862736,102874982,"UP","MMP12"
"ENSG00000166927","ENSG00000166927",2.2206613410703,0.00482530591517786,2613.92988999603,1177.09523809524,4679.5,60378485,60395951,"UP","MS4A7"
"ENSG00000188404","ENSG00000188404",2.60183667685929,0.000460542140133208,2542.24222726075,977.095238095238,4346,169690665,169711702,"UP","SELL"
"ENSG00000012124","ENSG00000012124",4.30389644332996,2.75933290666768e-11,2507.32709941423,582.571428571429,8782.75,35319261,35347361,"UP","CD22"
"ENSG00000173391","ENSG00000173391",2.88655130853522,6.12422111881949e-05,2401.06086940444,831.809523809524,6593.25,10158301,10172138,"UP","OLR1"
"ENSG00000227507","ENSG00000227507",2.71196786768188,0.000214228355444732,2395.57161645233,883.333333333333,4902.5,31580525,31582522,"UP","LTB"
"ENSG00000005844","ENSG00000005844",2.89721512165615,5.63098342265414e-05,2356.26366965549,813.285714285714,4623.25,30472658,30523567,"UP","ITGAL"
"ENSG00000161405","ENSG00000161405",2.98735701467558,2.75118839687918e-05,2355.31762342779,788.428571428571,4508.25,39757718,39864312,"UP","IKZF3"
"ENSG00000101445","ENSG00000101445",2.17627646255896,0.00614648854869128,2211.71867923492,1016.28571428571,3294.75,38805697,38923024,"UP","PPP1R16B"
"ENSG00000115956","ENSG00000115956",2.79199603740386,0.000123374873996952,2195.17364636072,786.238095238095,4083,68365282,68397453,"UP","PLEK"
"ENSG00000082074","ENSG00000082074",2.11315107357666,0.00876006141033736,2148.37025813627,1016.66666666667,3525.5,39105252,39274528,"UP","FYB1"
"ENSG00000072818","ENSG00000072818",2.38274940895833,0.00189366576144879,2111.00251207951,885.952380952381,3545.5,7336529,7351477,"UP","ACAP1"
"ENSG00000128815","ENSG00000128815",3.19815402476745,4.75170049224383e-06,2096.16152366186,655.428571428571,4534.5,48684876,48982956,"UP","WDFY4"
"ENSG00000185811","ENSG00000185811",2.52719518217805,0.000764241354115297,2092.51761084343,828,3442.75,50304068,50405101,"UP","IKZF1"
"ENSG00000122122","ENSG00000122122",2.73319224534169,0.000183850845640854,2065.77272943158,755.809523809524,3873.25,129779949,129795201,"UP","SASH3"
"ENSG00000126878","ENSG00000126878",2.28522402221179,0.00334953177913167,2056.37515941601,899.857142857143,3270.25,131096476,131123152,"UP","AIF1L"
"ENSG00000124875","ENSG00000124875",3.17457216493478,5.95716930478819e-06,2009.50418040372,633,5108.75,73836640,73849064,"UP","CXCL6"
"ENSG00000101336","ENSG00000101336",2.13709641462859,0.00769230177329623,2001.64520853951,936.619047619048,3623,32052197,32101856,"UP","HCK"
"ENSG00000162894","ENSG00000162894",2.89999728751118,5.50977330113757e-05,1963.436258754,677.047619047619,3752,206903317,206923247,"UP","FCMR"
"ENSG00000130208","ENSG00000130208",2.36548977601008,0.00209946350947013,1946.12223143457,822.714285714286,4699,44914247,44919349,"UP","APOC1"
"ENSG00000131401","ENSG00000131401",2.38043733763675,0.00191760552046951,1938.9228885846,814.52380952381,3506.25,50333796,50344767,"UP","ENSG00000131401"
"ENSG00000000938","ENSG00000000938",2.55221771246295,0.000648750777657721,1848.53482888388,724.285714285714,3517.75,27612064,27635185,"UP","FGR"
"ENSG00000166501","ENSG00000166501",3.00600557521811,2.40514258172458e-05,1833.66340088305,610,3532.5,23835983,24220611,"UP","PRKCB"
"ENSG00000153064","ENSG00000153064",3.03529421845401,1.91149955470719e-05,1783.3076222517,587.52380952381,3524.25,101411286,102074812,"UP","BANK1"
"ENSG00000018280","ENSG00000018280",2.1695460153731,0.00640670496195036,1735.32687715343,799.857142857143,3794.25,218382029,218396894,"UP","SLC11A1"
"ENSG00000187134","ENSG00000187134",2.1582502010345,0.00682413398718192,1705.22320645545,790.095238095238,3463.25,4963253,4983283,"UP","AKR1C1"
"ENSG00000138964","ENSG00000138964",2.67793243687476,0.00027014196241105,1667.33174343512,622.619047619048,3317.25,44172956,44219533,"UP","PARVG"
"ENSG00000068831","ENSG00000068831",2.83061106117454,9.3956715552985e-05,1646.47210058319,581.666666666667,3212.5,64726911,64745456,"UP","RASGRP2"
"ENSG00000185862","ENSG00000185862",2.44305186149221,0.00130856944371173,1602.75835694182,656.047619047619,2758.5,31303770,31314105,"UP","EVI2B"
"ENSG00000163219","ENSG00000163219",2.46211271564495,0.00115901512588204,1575.04867723687,639.714285714286,2758.75,68679601,68826833,"UP","ARHGAP25"
"ENSG00000146192","ENSG00000146192",2.73505466751315,0.000182177278899569,1558.32995699023,569.761904761905,2982.75,37005646,37029069,"UP","FGD2"
"ENSG00000015285","ENSG00000015285",2.27110007053505,0.00361881701594723,1556.02799118373,685.142857142857,2683.5,48676596,48691427,"UP","WAS"
"ENSG00000066294","ENSG00000066294",2.30815139575672,0.00295052931131371,1554.26518511408,673.380952380952,2719,160541095,160579516,"UP","CD84"
"ENSG00000156234","ENSG00000156234",3.06633430783786,1.48348840170101e-05,1509.51257497275,492.285714285714,3065,77511753,77611834,"UP","CXCL13"
"ENSG00000111913","ENSG00000111913",2.81232451288027,0.000106931442462631,1494.14783762882,531.285714285714,2571,24804282,25042170,"UP","RIPOR2"
"ENSG00000119535","ENSG00000119535",2.68832292897978,0.000252514051756128,1487.1546412361,553.190476190476,2837,36466043,36483278,"UP","CSF3R"
"ENSG00000127084","ENSG00000127084",2.25738842860939,0.00391185024576212,1442.4712058814,639,2517.75,92947523,93036236,"UP","FGD3"
"ENSG00000172578","ENSG00000172578",2.78602133596777,0.000128159124133104,1432.01496668743,514,2720.75,183487551,183555706,"UP","KLHL6"
"ENSG00000133063","ENSG00000133063",3.17424135095828,5.98535510910945e-06,1429.3155340315,450.285714285714,4051.25,203212827,203273641,"UP","CHIT1"
"ENSG00000110777","ENSG00000110777",2.99929205849872,2.52343487998487e-05,1422.52137631654,474.285714285714,2876,111352255,111455630,"UP","POU2AF1"
"ENSG00000175463","ENSG00000175463",2.66842536156478,0.00028959602898608,1389.61427400345,520.761904761905,2580.75,67403915,67410089,"UP","TBC1D10C"
"ENSG00000105122","ENSG00000105122",2.31056450160749,0.00291643223304175,1384.79832463009,599.333333333333,2352,15451624,15464544,"UP","RASAL3"
"ENSG00000077420","ENSG00000077420",2.23650335019562,0.0044189435224261,1332.63649623799,595.857142857143,2425,26438341,26567803,"UP","APBB1IP"
"ENSG00000136286","ENSG00000136286",2.27361623605914,0.00358110327205798,1275.17390610974,560.857142857143,2196,44962662,44979088,"UP","MYO1G"
"ENSG00000123329","ENSG00000123329",2.4944924863036,0.000938636024049512,1268.8651780331,508.666666666667,2268,57472264,57488814,"UP","ARHGAP9"
"ENSG00000163631","ENSG00000163631",2.32603573560313,0.00265975299214943,1238.00482937315,532.238095238095,2489.25,73397114,73421482,"UP","ALB"
"ENSG00000196092","ENSG00000196092",4.22722159681687,7.13499179189758e-11,1232.73833613841,291.619047619048,4345.75,36833269,37034268,"UP","PAX5"
"ENSG00000019169","ENSG00000019169",2.17954565773419,0.00604815125937231,1217.63950745417,558.666666666667,2893.75,118942166,118994660,"UP","MARCO"
"ENSG00000141506","ENSG00000141506",2.16527367020036,0.00658405194654516,1217.19312746263,562.142857142857,2078.75,8878911,8965712,"UP","PIK3R5"
"ENSG00000145416","ENSG00000145416",2.20316394763639,0.00534090597164572,1211.53034606214,549.904761904762,1996.5,163524298,164384050,"UP","MARCHF1"
"ENSG00000088827","ENSG00000088827",2.14416092740018,0.00739647576278171,1204.50792669238,561.761904761905,2154.25,3686970,3707128,"UP","SIGLEC1"
"ENSG00000146094","ENSG00000146094",2.46222696966597,0.00116044822105873,1187.61414170222,482.333333333333,2171,177501907,177511274,"UP","DOK3"
"ENSG00000010671","ENSG00000010671",2.73495738206884,0.000182655834903124,1159.752166063,424.047619047619,2255,101349447,101390796,"UP","BTK"
"ENSG00000154451","ENSG00000154451",2.25422358373885,0.00399416446845847,1108.11190737791,491.571428571429,1665.5,89258950,89272804,"UP","GBP5"
"ENSG00000028277","ENSG00000028277",2.74031764958887,0.000178490612643095,1097.82344695196,400.619047619048,2028,42086110,42196585,"UP","POU2F2"
"ENSG00000188536","ENSG00000188536",3.26074580846836,2.68742195074841e-06,1082.10178758171,331.857142857143,2976.25,172876,173710,"UP","HBA2"
"ENSG00000126882","ENSG00000126882",2.09107911850732,0.00985030970589477,1059.97796269097,506.904761904762,1724,131258076,131276510,"UP","FAM78A"
"ENSG00000189325","ENSG00000189325",3.08221997009045,1.321962162437e-05,1044.72579748114,338.952380952381,2878.25,36315761,36336888,"UP","BNIP5"
"ENSG00000247982","ENSG00000247982",3.08531581365065,1.2926662085789e-05,1025.35328873657,332.333333333333,2377.75,57300365,57307769,"UP","LINC00926"
"ENSG00000118308","ENSG00000118308",2.273585692281,0.00358421193373344,1024.845817292,450.761904761905,1668,25004342,25108334,"UP","IRAG2"
"ENSG00000159958","ENSG00000159958",3.81365240147061,9.96097084286128e-09,1013.34192381933,265.714285714286,2940,41922032,41926806,"UP","TNFRSF13C"
"ENSG00000166819","ENSG00000166819",2.34887224796671,0.0023366506553149,1011.46913039824,430.619047619048,1804.5,89664367,89679427,"UP","PLIN1"
"ENSG00000168421","ENSG00000168421",2.69528302036604,0.000242181700969572,986.986972695944,366.190476190476,1764.25,40191053,40246967,"UP","RHOH"
"ENSG00000137101","ENSG00000137101",2.81852997597084,0.00010305289890756,985.277550171519,349.571428571429,1846,35609979,35646810,"UP","CD72"
"ENSG00000115085","ENSG00000115085",2.72313499344878,0.000199826817390197,971.121807901806,356.619047619048,1750.75,97713576,97739862,"UP","ZAP70"
"ENSG00000112799","ENSG00000112799",2.39749039936971,0.00174404010121635,963.791140546625,402,1815,6588108,6654983,"UP","LY86"
"ENSG00000180096","ENSG00000180096",2.31906807367399,0.00278204443772131,949.934455702078,409.619047619048,1589.75,30378133,30395991,"UP","SEPTIN1"
"ENSG00000162739","ENSG00000162739",2.70057476279374,0.000233303588658826,935.170460716005,346.285714285714,1509.25,160485030,160523262,"UP","SLAMF6"
"ENSG00000173200","ENSG00000173200",3.85539056289879,6.1878937510062e-09,929.516305712219,241.095238095238,2592.75,122577628,122639047,"UP","PARP15"
"ENSG00000163121","ENSG00000163121",2.67019642952181,0.000286908411163817,928.338291997081,347.666666666667,2307.25,96497646,96508109,"UP","NEURL3"
"ENSG00000180644","ENSG00000180644",2.44574196043125,0.00129652790788993,926.470347391931,378.809523809524,1492,70597348,70602759,"UP","PRF1"
"ENSG00000009790","ENSG00000009790",2.72014552500915,0.000204170595782836,897.000369556589,329.761904761905,1595.5,209756032,209782320,"UP","TRAF3IP3"
"ENSG00000203710","ENSG00000203710",4.27693589331796,3.77066381908725e-11,891.435638335844,208.428571428571,2855.25,207496147,207641765,"UP","CR1"
"ENSG00000083454","ENSG00000083454",3.72767475676167,2.56284995130485e-08,882.571375743762,236.761904761905,2210,3672199,3696240,"UP","P2RX5"
"ENSG00000181092","ENSG00000181092",2.71719866269715,0.000207409484546583,881.79566125148,324.52380952381,1598.25,186842704,186858463,"UP","ADIPOQ"
"ENSG00000069493","ENSG00000069493",2.10713272986548,0.00911413710906641,881.182839698982,418.190476190476,1449.25,9664969,9699553,"UP","CLEC2D"
"ENSG00000104814","ENSG00000104814",2.88183649006504,6.43903925125177e-05,860.708498366092,298.666666666667,1661.25,38587641,38618882,"UP","MAP4K1"
"ENSG00000159753","ENSG00000159753",2.30189785878012,0.00307265841680331,851.921436116148,370.095238095238,1367.75,67644988,67657569,"UP","CARMIL2"
"ENSG00000167483","ENSG00000167483",3.60710728129687,9.21544964761407e-08,849.731415265505,235.571428571429,2399,17523301,17553839,"UP","NIBAN3"
"ENSG00000152229","ENSG00000152229",2.11194825845019,0.00887559620221472,847.092389567903,401.095238095238,1403.25,45983536,46072272,"UP","PSTPIP2"
"ENSG00000143297","ENSG00000143297",4.08107324403352,4.1651657989426e-10,845.365171978372,207.142857142857,2589.25,157513377,157552515,"UP","FCRL5"
"ENSG00000131042","ENSG00000131042",2.2754794613659,0.00355708485276026,842.360825364689,370.190476190476,1375,54273812,54281184,"UP","LILRB2"
"ENSG00000113263","ENSG00000113263",2.21607407745379,0.0049736025267229,842.002622095418,379.952380952381,1228,157142933,157255185,"UP","ITK"
"ENSG00000134061","ENSG00000134061",2.97594627984702,3.06026283573045e-05,831.2809941706,279.333333333333,1673.25,67179613,67196799,"UP","CD180"
"ENSG00000160883","ENSG00000160883",3.07900187181292,1.35872467548524e-05,817.69492567146,265.571428571429,2060,176880869,176899346,"UP","HK3"
"ENSG00000117091","ENSG00000117091",2.61673151550703,0.000419429334924414,817.417082939339,312.380952380952,1420.25,160678746,160711831,"UP","CD48"
"ENSG00000177455","ENSG00000177455",4.35299676086474,1.53970201777795e-11,816.912392122283,187.666666666667,3073.25,28931965,28939342,"UP","CD19"
"ENSG00000007312","ENSG00000007312",2.77791227670462,0.000137875785733401,815.515675518286,293.571428571429,1617.75,63928740,63932336,"UP","CD79B"
"ENSG00000072694","ENSG00000072694",2.23218854968208,0.00455006132536301,811.241095770174,363.428571428571,1412.25,161663147,161678654,"UP","FCGR2B"
"ENSG00000142512","ENSG00000142512",2.19458100698955,0.0056026896744941,786.600535219539,358.428571428571,1375.25,51410020,51417803,"UP","SIGLEC10"
"ENSG00000105374","ENSG00000105374",2.48616437558186,0.000994959584129429,779.116559795438,313.380952380952,1313.75,51371606,51372701,"UP","NKG7"
"ENSG00000254838","ENSG00000254838",3.06408722532804,1.52780992676605e-05,765.146352839059,249.714285714286,1418.5,6713536,6746439,"UP","GVINP1"
"ENSG00000164691","ENSG00000164691",2.28928520770564,0.0033004207890187,753.065819753836,328.952380952381,1198.5,159034468,159045152,"UP","TAGAP"
"ENSG00000104951","ENSG00000104951",2.66171498401694,0.000305283872007645,751.490863820783,282.333333333333,1802,49889654,49929539,"UP","IL4I1"
"ENSG00000104972","ENSG00000104972",2.82194868233677,0.000100942004452302,719.059399961146,254.809523809524,1433.5,54617158,54637528,"UP","LILRB1"
"ENSG00000166670","ENSG00000166670",2.11989345799056,0.0085044835676984,718.139145721183,338.761904761905,1423.25,102770502,102780628,"UP","MMP10"
"ENSG00000136573","ENSG00000136573",4.29686085579634,2.97930406761235e-11,712.665064797079,165.857142857143,2550,11486894,11564599,"UP","BLK"
"ENSG00000157368","ENSG00000157368",2.11256972121975,0.00886940568494676,701.272548886803,331.952380952381,1165.5,70579895,70660682,"UP","IL34"
"ENSG00000079263","ENSG00000079263",3.24950772023005,3.02042307808504e-06,697.406252146516,214.619047619048,1533.75,230203110,230313215,"UP","SP140"
"ENSG00000102445","ENSG00000102445",2.47060905041886,0.0011053156925163,696.241160018039,281.809523809524,1285.5,46334681,46438190,"UP","RUBCNL"
"ENSG00000160856","ENSG00000160856",4.72960493022198,1.31676082665001e-13,668.225610855648,141.285714285714,2833.5,157674321,157700769,"UP","FCRL3"
"ENSG00000164128","ENSG00000164128",2.59521700257759,0.000488827190194321,664.375552659864,256,1199.5,163323962,163344832,"UP","NPY1R"
"ENSG00000105609","ENSG00000105609",2.82992674101648,9.58390939584218e-05,630.265112749242,222.714285714286,1092.75,54249421,54257301,"UP","LILRB5"
"ENSG00000104921","ENSG00000104921",3.96698500296253,1.72706167867154e-09,618.849660462155,156,2034.25,7688758,7702146,"UP","FCER2"
"ENSG00000132185","ENSG00000132185",4.16462020712524,1.53863966621048e-10,615.967160158619,147.904761904762,2008.75,161706972,161714352,"UP","FCRLA"
"ENSG00000100721","ENSG00000100721",3.16526845151867,6.6033359722085e-06,599.140099751748,189.285714285714,1406.75,95709947,95714196,"UP","TCL1A"
"ENSG00000161929","ENSG00000161929",3.05039657305299,1.71295583277272e-05,586.111912965182,192.142857142857,1204,5208920,5234860,"UP","SCIMP"
"ENSG00000269404","ENSG00000269404",2.60232948396807,0.000469748362245081,582.30220215076,223.761904761905,1217.25,50418938,50431314,"UP","SPIB"
"ENSG00000169031","ENSG00000169031",2.82630903702846,9.80775369380309e-05,575.355768252223,203.571428571429,920,227164624,227314792,"UP","COL4A3"
"ENSG00000256229","ENSG00000256229",2.15291345753973,0.0071015372219611,575.032932540016,267.095238095238,1077.25,20167214,20200488,"UP","ZNF486"
"ENSG00000105967","ENSG00000105967",2.66936614029847,0.000290751476918436,573.023931450739,214.666666666667,1112.5,115935148,116159896,"UP","TFEC"
"ENSG00000103569","ENSG00000103569",2.84402256449129,8.69509780832778e-05,544.833465568975,191.571428571429,1199.5,58138169,58185911,"UP","AQP9"
"ENSG00000004468","ENSG00000004468",2.30312815345268,0.00307089991551559,543.318898676408,235.904761904762,803.5,15778275,15853232,"UP","CD38"
"ENSG00000137265","ENSG00000137265",2.35022054863405,0.00234341723432146,542.565200941804,230.857142857143,809.75,391752,411443,"UP","IRF4"
"ENSG00000122986","ENSG00000122986",2.25581492186925,0.00399743598717019,536.776531646698,237.952380952381,944.25,110627841,110704950,"UP","HVCN1"
"ENSG00000224397","ENSG00000224397",2.4355048058018,0.00139519911431849,522.125839796176,214.380952380952,1121,50247643,50283250,"UP","PELATON"
"ENSG00000115523","ENSG00000115523",2.26644521822359,0.00376506712682027,513.403804909028,226.52380952381,833,85685175,85698852,"UP","GNLY"
"ENSG00000247774","ENSG00000247774",2.1870311250657,0.00589340069828517,511.765283265374,234,916.75,47205898,47216456,"UP","PCED1B-AS1"
"ENSG00000153993","ENSG00000153993",2.39434924304663,0.00179947287819637,502.129241256065,209.714285714286,848.5,84995553,85186855,"UP","SEMA3D"
"ENSG00000181847","ENSG00000181847",2.25840631603448,0.00394950168065062,497.172019001304,220.142857142857,800.25,114276913,114310288,"UP","TIGIT"
"ENSG00000163687","ENSG00000163687",3.65278715879165,5.8541464456615e-08,493.126266436873,135,1119,58192257,58214697,"UP","DNASE1L3"
"ENSG00000174123","ENSG00000174123",3.90025426126976,3.843320735397e-09,492.732121673746,126.333333333333,1413.5,38772238,38782990,"UP","TLR10"
"ENSG00000227039","ENSG00000227039",3.45910196880877,4.22797652696229e-07,488.886411591639,141.333333333333,1266.75,44921051,44929678,"UP","ITGB2-AS1"
"ENSG00000181631","ENSG00000181631",2.52576354166413,0.000781900933732282,487.231814632447,192.904761904762,828,151326312,151329549,"UP","P2RY13"
"ENSG00000163534","ENSG00000163534",4.96307173241606,5.48005224017934e-15,474.800529067803,95.6666666666667,2367.75,157794403,157820120,"UP","FCRL1"
"ENSG00000166828","ENSG00000166828",2.56078695569998,0.000624872266630435,471.306742084782,184.047619047619,1130,23182745,23216883,"UP","SCNN1G"
"ENSG00000078589","ENSG00000078589",2.33950282560723,0.00250808080921383,471.24271201517,201.428571428571,751.5,78945332,78963727,"UP","P2RY10"
"ENSG00000096996","ENSG00000096996",2.12991944693514,0.00814028899082793,468.987977268005,220.190476190476,807.75,18058995,18098944,"UP","IL12RB1"
"ENSG00000226777","ENSG00000226777",3.59544468489178,1.07173363683512e-07,468.777502249224,130.380952380952,1179.75,105917979,105932642,"UP","FAM30A"
"ENSG00000134539","ENSG00000134539",3.22912895621901,3.73599308477488e-06,464.994569695538,144,932.5,10226058,10329608,"UP","KLRD1"
"ENSG00000174697","ENSG00000174697",2.27886910752773,0.00352183902762863,453.38643482147,198.952380952381,768.75,128241278,128257629,"UP","LEP"
"ENSG00000186074","ENSG00000186074",2.0977554070489,0.00960783619591032,445.62318432596,212.428571428571,882.25,74694311,74712978,"UP","CD300LF"
"ENSG00000140379","ENSG00000140379",2.18394136439684,0.00598518645980734,438.55622541245,200.809523809524,760,79960892,79971196,"UP","BCL2A1"
"ENSG00000174130","ENSG00000174130",2.1855664424365,0.00595097449388243,438.362183597263,200.571428571429,717,38823715,38856817,"UP","TLR6"
"ENSG00000196664","ENSG00000196664",2.2352658408364,0.00451307729245683,435.025309118969,194.619047619048,816.5,12867072,12890361,"UP","TLR7"
"ENSG00000288156","ENSG00000288156",2.56807217589135,0.000599524736554238,424.587933080703,165.333333333333,774.25,2293173,2295781,"UP","ENSG00000288156"
"ENSG00000196136","ENSG00000196136",2.44662845290823,0.00130856944371173,421.985155068268,172.47619047619,986.5,94612384,94624055,"UP","SERPINA3"
"ENSG00000132704","ENSG00000132704",4.53927347869647,1.69715756049031e-12,420.855498239144,92.7142857142857,1764,157745733,157777132,"UP","FCRL2"
"ENSG00000122224","ENSG00000122224",2.66243562361708,0.00030827054861831,418.6363061516,157.238095238095,719.25,160796074,160828261,"UP","LY9"
"ENSG00000175857","ENSG00000175857",2.86804004040285,7.35097523811265e-05,409.173712430807,142.666666666667,808.25,58491435,58497090,"UP","GAPT"
"ENSG00000064886","ENSG00000064886",3.0640650880683,1.5625304990771e-05,402.851605150313,131.47619047619,881,111200771,111243440,"UP","CHI3L2"
"ENSG00000158517","ENSG00000158517",2.8838702107982,6.50983832849378e-05,387.53722547012,134.380952380952,808.75,74773962,74789376,"UP","NCF1"
"ENSG00000254415","ENSG00000254415",3.10077411801795,1.16559001429622e-05,379.180377860481,122.285714285714,834,51642553,51646801,"UP","SIGLEC14"
"ENSG00000167261","ENSG00000167261",2.35285734684428,0.00233255352672071,377.577583755487,160.47619047619,686.75,67987394,68000586,"UP","DPEP2"
"ENSG00000146285","ENSG00000146285",2.25019034462271,0.00416025909345789,371.495710705092,165.095238095238,598.75,107702154,107824317,"UP","SCML4"
"ENSG00000241106","ENSG00000241106",2.71443827226334,0.000218723641426542,367.612497443663,135.428571428571,709.25,32812763,32820466,"UP","HLA-DOB"
"ENSG00000164236","ENSG00000164236",2.63716164185443,0.00037038321636616,362.798094443688,137.571428571429,677,10564070,10657816,"UP","ANKRD33B"
"ENSG00000128218","ENSG00000128218",3.26826709361213,2.63444371051472e-06,353.751004941923,108.238095238095,832,23752743,23754425,"UP","VPREB3"
"ENSG00000147138","ENSG00000147138",2.42037160767039,0.00155082549899805,350.377604157999,144.761904761905,541.75,79144688,79175318,"UP","GPR174"
"ENSG00000137078","ENSG00000137078",2.44219310187959,0.00134961147176431,347.838074653422,142.428571428571,572.5,35649295,35650950,"UP","SIT1"
"ENSG00000143869","ENSG00000143869",3.34422950207548,1.2872587113191e-06,347.162872120216,103.809523809524,789.25,20667144,20679243,"UP","GDF7"
